,receiver,transmitter,timestamp
0,6c4322ca-389a-41e8-99d0-06856cad0295,92c0418f-390a-4827-9948-c2bd27d53426,2025-08-20 15:04:36.311157+00:00
1,c12ce4e7-5a0d-44ac-8523-f63c1e288934,41265ae4-cab7-4085-9b7b-fe76d948ba84,2025-08-20 15:04:38.046180+00:00
2,60cf1248-8954-453b-92d8-302e44a8d9e7,41e78e02-47aa-474a-a1fd-4955ccd6c626,2025-08-20 15:04:44.309900+00:00
3,70a11b4f-8fa8-4b9f-bfc2-25e1369abb93,d4e201f9-18a2-4acc-805b-9b2385a5b749,2025-08-20 15:04:46.062957+00:00
4,12a7eab6-960c-4e77-8210-b107ebb79e83,7dd3ca78-e84a-42c0-a408-5b43b8ed0e3c,2025-08-20 15:04:48.310379+00:00
5,12a7eab6-960c-4e77-8210-b107ebb79e83,cc65c623-518c-4bb3-94b9-4864693e45d4,2025-08-20 15:04:48.361405+00:00
6,e21c6325-d24f-402b-b972-f642622c59ce,f2afcde5-a043-41ef-ace6-3367ad3a8c91,2025-08-20 15:04:49.346264+00:00
7,cb59307c-5ef2-4187-b315-e6ac0b3a283a,cf8f98fd-7a33-4537-9051-e1fdcea771dc,2025-08-20 15:04:51.321287+00:00
8,4dc70ca0-2904-4066-babc-4025b54fdcb1,fabd752f-5294-4d23-8da4-8827c0da3872,2025-08-20 15:04:52.318461+00:00
9,d2c3f9ce-a311-4674-acdd-23bf7c814032,7df8ab6b-decb-43fc-b02a-d2bb94e5998a,2025-08-20 15:04:55.058745+00:00
10,7df8ab6b-decb-43fc-b02a-d2bb94e5998a,ab6082e8-7808-4f2b-b1ba-2202567b4d8c,2025-08-20 15:04:56.330739+00:00
11,7df8ab6b-decb-43fc-b02a-d2bb94e5998a,b7aa97dc-6e93-40c6-a529-719c0fba0e20,2025-08-20 15:04:56.378189+00:00
12,d19d8fa5-1ab1-44d2-8fe2-c43930fc62d8,f1120baf-6140-4024-90ed-2efd101e805c,2025-08-20 15:04:57.106857+00:00
13,b7aa97dc-6e93-40c6-a529-719c0fba0e20,1a426f4e-c6b8-4fdf-8a19-dca6b4a4ef7e,2025-08-20 15:04:59.331941+00:00
14,cc65c623-518c-4bb3-94b9-4864693e45d4,f481378c-dc68-4108-af8e-a50715c288e5,2025-08-20 15:05:00.073814+00:00
15,cc65c623-518c-4bb3-94b9-4864693e45d4,ab6082e8-7808-4f2b-b1ba-2202567b4d8c,2025-08-20 15:05:00.117026+00:00
16,cc65c623-518c-4bb3-94b9-4864693e45d4,bcd3cce7-2a56-4c30-90d9-3c574dfe3c73,2025-08-20 15:05:00.161588+00:00
17,cc65c623-518c-4bb3-94b9-4864693e45d4,7c892017-e1fa-4bef-9a73-aa1b80c014da,2025-08-20 15:05:00.208210+00:00
18,cf8f98fd-7a33-4537-9051-e1fdcea771dc,2d548212-e130-4635-9590-488ed47e826d,2025-08-20 15:05:00.326447+00:00
19,85d8ce8a-3c29-47e4-b721-b24f1026ca01,2d548212-e130-4635-9590-488ed47e826d,2025-08-20 15:05:01.065868+00:00
20,85d8ce8a-3c29-47e4-b721-b24f1026ca01,e21054b0-80e8-4ce0-bfcf-c1898d5f9c25,2025-08-20 15:05:01.113545+00:00
21,85d8ce8a-3c29-47e4-b721-b24f1026ca01,70f16597-1ba4-4782-b2fa-0c8fd17cb647,2025-08-20 15:05:01.160237+00:00
22,70f16597-1ba4-4782-b2fa-0c8fd17cb647,bcd3cce7-2a56-4c30-90d9-3c574dfe3c73,2025-08-20 15:05:01.389318+00:00
23,7dd3ca78-e84a-42c0-a408-5b43b8ed0e3c,80ccbd0e-db39-4db5-80fb-a8a6f72acbd1,2025-08-20 15:05:02.066598+00:00
24,7dd3ca78-e84a-42c0-a408-5b43b8ed0e3c,e21054b0-80e8-4ce0-bfcf-c1898d5f9c25,2025-08-20 15:05:02.114073+00:00
25,7dd3ca78-e84a-42c0-a408-5b43b8ed0e3c,cc65c623-518c-4bb3-94b9-4864693e45d4,2025-08-20 15:05:02.158870+00:00
26,a47bc802-fb18-4cc7-bdb5-070062fd2895,d4e201f9-18a2-4acc-805b-9b2385a5b749,2025-08-20 15:05:03.270498+00:00
27,41e78e02-47aa-474a-a1fd-4955ccd6c626,e919b630-3555-475e-8f1e-bb27fdb26713,2025-08-20 15:05:03.371212+00:00
28,fabd752f-5294-4d23-8da4-8827c0da3872,d4e201f9-18a2-4acc-805b-9b2385a5b749,2025-08-20 15:05:05.096034+00:00
29,fabd752f-5294-4d23-8da4-8827c0da3872,f1120baf-6140-4024-90ed-2efd101e805c,2025-08-20 15:05:05.148556+00:00
30,fabd752f-5294-4d23-8da4-8827c0da3872,1ef6e335-9532-49cd-be88-39aa14249fce,2025-08-20 15:05:05.198919+00:00
31,fabd752f-5294-4d23-8da4-8827c0da3872,e5291282-303c-4fac-8539-b2da73e24a1e,2025-08-20 15:05:05.248502+00:00
32,fabd752f-5294-4d23-8da4-8827c0da3872,bcd3cce7-2a56-4c30-90d9-3c574dfe3c73,2025-08-20 15:05:05.296201+00:00
33,7df8ab6b-decb-43fc-b02a-d2bb94e5998a,41265ae4-cab7-4085-9b7b-fe76d948ba84,2025-08-20 15:05:05.408068+00:00
34,7df8ab6b-decb-43fc-b02a-d2bb94e5998a,7c892017-e1fa-4bef-9a73-aa1b80c014da,2025-08-20 15:05:05.455833+00:00
35,1a426f4e-c6b8-4fdf-8a19-dca6b4a4ef7e,f2c244dc-aeb9-4494-90d7-0de5309ad595,2025-08-20 15:05:06.128250+00:00
36,1a426f4e-c6b8-4fdf-8a19-dca6b4a4ef7e,c2f4c294-7313-4a1a-8e0f-20e20e2ad299,2025-08-20 15:05:06.174149+00:00
37,2db2bc6e-0488-40d2-949a-670f030a0fee,2d548212-e130-4635-9590-488ed47e826d,2025-08-20 15:05:07.080263+00:00
38,707bd828-14cb-40b8-bd4d-785d916d1c43,d2c3f9ce-a311-4674-acdd-23bf7c814032,2025-08-20 15:05:07.130738+00:00
39,f2c244dc-aeb9-4494-90d7-0de5309ad595,60cf1248-8954-453b-92d8-302e44a8d9e7,2025-08-20 15:05:07.404712+00:00
40,f2c244dc-aeb9-4494-90d7-0de5309ad595,5cf93cbf-3e42-4de3-a5a3-3ac2b0378923,2025-08-20 15:05:07.448695+00:00
41,c2f4c294-7313-4a1a-8e0f-20e20e2ad299,61329bb5-9e8f-41af-9caf-2a747b3d6d76,2025-08-20 15:05:08.138668+00:00
42,f481378c-dc68-4108-af8e-a50715c288e5,60cf1248-8954-453b-92d8-302e44a8d9e7,2025-08-20 15:05:11.321759+00:00
43,f481378c-dc68-4108-af8e-a50715c288e5,70ac0564-0d3a-49c9-9728-28391c234e29,2025-08-20 15:05:11.364276+00:00
44,f481378c-dc68-4108-af8e-a50715c288e5,7df8ab6b-decb-43fc-b02a-d2bb94e5998a,2025-08-20 15:05:11.410753+00:00
45,f481378c-dc68-4108-af8e-a50715c288e5,cb59307c-5ef2-4187-b315-e6ac0b3a283a,2025-08-20 15:05:11.456001+00:00
46,f481378c-dc68-4108-af8e-a50715c288e5,7c892017-e1fa-4bef-9a73-aa1b80c014da,2025-08-20 15:05:11.504567+00:00
47,f481378c-dc68-4108-af8e-a50715c288e5,61329bb5-9e8f-41af-9caf-2a747b3d6d76,2025-08-20 15:05:11.548941+00:00
48,f481378c-dc68-4108-af8e-a50715c288e5,c2f4c294-7313-4a1a-8e0f-20e20e2ad299,2025-08-20 15:05:11.597343+00:00
49,7c892017-e1fa-4bef-9a73-aa1b80c014da,61329bb5-9e8f-41af-9caf-2a747b3d6d76,2025-08-20 15:05:11.650985+00:00
50,bcd3cce7-2a56-4c30-90d9-3c574dfe3c73,f1120baf-6140-4024-90ed-2efd101e805c,2025-08-20 15:05:12.088488+00:00
51,bcd3cce7-2a56-4c30-90d9-3c574dfe3c73,d4e201f9-18a2-4acc-805b-9b2385a5b749,2025-08-20 15:05:12.134358+00:00
52,70ac0564-0d3a-49c9-9728-28391c234e29,5cf93cbf-3e42-4de3-a5a3-3ac2b0378923,2025-08-20 15:05:13.080549+00:00
53,80ccbd0e-db39-4db5-80fb-a8a6f72acbd1,70a11b4f-8fa8-4b9f-bfc2-25e1369abb93,2025-08-20 15:05:13.319176+00:00
54,80ccbd0e-db39-4db5-80fb-a8a6f72acbd1,b4331538-c407-448f-8ed4-04e12afba43a,2025-08-20 15:05:13.366635+00:00
55,f1120baf-6140-4024-90ed-2efd101e805c,d4e201f9-18a2-4acc-805b-9b2385a5b749,2025-08-20 15:05:15.048294+00:00
56,f1120baf-6140-4024-90ed-2efd101e805c,a47bc802-fb18-4cc7-bdb5-070062fd2895,2025-08-20 15:05:15.096267+00:00
57,c7ce7da0-e546-448e-a589-f5d922ba1a28,d91dd5d8-3bf8-43c7-9f0e-7e97c57c2b7c,2025-08-20 15:05:15.357114+00:00
58,d91dd5d8-3bf8-43c7-9f0e-7e97c57c2b7c,ab6082e8-7808-4f2b-b1ba-2202567b4d8c,2025-08-20 15:05:18.093053+00:00
59,70f16597-1ba4-4782-b2fa-0c8fd17cb647,70a11b4f-8fa8-4b9f-bfc2-25e1369abb93,2025-08-20 15:05:19.447500+00:00
60,a47bc802-fb18-4cc7-bdb5-070062fd2895,12a7eab6-960c-4e77-8210-b107ebb79e83,2025-08-20 15:05:21.298512+00:00
61,a47bc802-fb18-4cc7-bdb5-070062fd2895,70ac0564-0d3a-49c9-9728-28391c234e29,2025-08-20 15:05:21.350925+00:00
62,1a132532-97b2-4343-9518-80e43dea047b,7dd3ca78-e84a-42c0-a408-5b43b8ed0e3c,2025-08-20 15:05:21.401995+00:00
63,76bd1d48-31fc-4e1a-8cf4-5fe6b28e13dd,85d8ce8a-3c29-47e4-b721-b24f1026ca01,2025-08-20 15:05:23.140033+00:00
64,61329bb5-9e8f-41af-9caf-2a747b3d6d76,70a11b4f-8fa8-4b9f-bfc2-25e1369abb93,2025-08-20 15:05:23.350411+00:00
65,61329bb5-9e8f-41af-9caf-2a747b3d6d76,85d8ce8a-3c29-47e4-b721-b24f1026ca01,2025-08-20 15:05:23.397784+00:00
66,b7aa97dc-6e93-40c6-a529-719c0fba0e20,2de88a59-a096-4009-a1cd-abf0eb60fb3c,2025-08-20 15:05:23.446404+00:00
67,1665e860-bb80-4006-9ede-0db0519f4d8e,7dd3ca78-e84a-42c0-a408-5b43b8ed0e3c,2025-08-20 15:05:25.648642+00:00
68,ab6082e8-7808-4f2b-b1ba-2202567b4d8c,bcd3cce7-2a56-4c30-90d9-3c574dfe3c73,2025-08-20 15:05:26.096798+00:00
69,ab6082e8-7808-4f2b-b1ba-2202567b4d8c,7c892017-e1fa-4bef-9a73-aa1b80c014da,2025-08-20 15:05:26.140980+00:00
